,Seller,0
808,Furracious Pet,1
809,"Fusion Technology, Muz",1
810,Fusion5 Tablets,1
811,Future-mart,2
812,Futurewagon Private Limited,1
813,G&S enterprise,1
814,G-Mart Store,2
815,G-force,1
816,G. G.,8
817,G.C.G.S,2
818,G.k electronic,2
819,GADGET DEAL,1
820,GADGETBESTBUY,1
821,GADGETHUT,3
822,GADGETKING,1
823,GADGETS GALLERY,2
824,GAME STOP,1
825,GAMERZONE,2
826,GAMES BABA,5
827,GENERIC HUB™,1
828,GENPROD,2
829,GENVEO Telecom& Security Alarm System india,1
830,GERMAN INTERNATIONAL,1
831,GLEAM BAGS,1
832,GLOBAL VISION SALES,1
833,GLORIOUS LIVING,1
834,GMCS-Ecommerce,2
835,GOELX- THE LARGEST CRAFT STORE,2
836,GOLD FITNESS(Lovely Sports),1
837,GOLDEN VISION,1
838,GOOD DEEDS,3
839,GOODNESS INTERNATIONAL,1
840,GOWRI MARKETING,1
841,GOYAL BROTHERS HOME APPLIANCES,1
842,GRABDEALS,3
843,GRD Enterprise,1
844,GREAN,1
845,GREAT VALUE PRODUCT,1
846,GREATINDIADEALS,1
847,GREATINDIAZONE,1
848,GREENLIME,1
849,GSDECOR,1
850,GSK Corporation,1
851,GSND Prime,1
852,GSR ONLINE,1
853,GT CAM INDIA,1
854,GT Glooptook,1
855,GTBPRODUCTS,2
856,GTC RETAIL,2
857,GTretails,1
858,GURNOOR COMMUNICATION (Mobile & Accesories world),1
859,GURU KRIPA TRADING,1
860,GURUJI INTERPRISES,6
861,GVC BAGS,1
862,Gadget Hero's ™,1
863,Gadget Walker,1
864,GadgetShoppe,2
865,Gadgetfreakz75,3
866,Gadgets of galaxy,1
867,GadgetsAccessories™,5
868,Gadgets_Guru,8
869,Gajraj,1
870,Galaxy Sales and Marketing,1
871,Galaxy Shopee,5
872,Gambol India,1
873,Game Addicts,3
874,Game On sports,3
875,Game X,3
876,Gamerz_world.,3
877,Games.stores,3
878,GamesTradeDelhi,3
879,Ganesh-Enterprise,2
880,Gangaur Tex,1
881,Gapkart,1
882,Garg bartan store,1
883,Gatiya Retail LLP,1
884,Gauryog,1
885,Gavin International,4
886,Gawin Sports,2
887,Geek STORE,1
888,Geek-O-Tech,1
889,Geetanjali Store,1
890,GemComp,1
891,GenXgAmE,1
892,Genius International,1
893,Genuine Sports Guaranteed,2
894,Giant B,3
895,Gifts Online,1
896,GiggleGlory.,1
897,Gilli Shopee®,2
898,Glace,3
899,Global Healthfit Retail,1
900,Global Medical Shop,2
901,Global Shopping Bag,2
902,Glossy Store,1
903,GoTo Style Mart,6
904,GoTrippin,1
905,GoalSquadShop,3
906,Gocart,1
907,GoldMakers,1
908,Good Shop Store,1
909,GoodWill Tech,1
910,GoodsSell,3
911,Goofy Tails,3
912,GopalJi Creation,1
913,Goreitia,1
914,Gorilla Fans,1
915,Goyal Enterprises 23,1
916,Goyal International,1
917,Grab All Deals,1
918,Grace St.,1
919,Great Indian Sale,1
920,Green Mart India,1
921,GreenWood Organic & Bamboo clothing,1
922,Greener One,1
923,Greeneye Technology,1
924,Grey Stone,2
925,Grooming Kart ®,1
926,GrvEnterprises,1
927,Gsm DUMANHILL ®,2
928,Gss creation,1
929,Gulati marketing Corporation,1
930,Gulati traders,1
931,Gupta  Trading Company,1
932,Gupta Computer Care,1
933,Gupta brothers chandigarh,1
934,Guru ji telehub,2
935,Guruji Gifting,2
936,Guruji Trading Company,1
937,GymMart(Fit-N-Fine Fitness),1
938,H.R Enterprises,2
939,HAPPY DEALS4U,1
940,HARI HARA ENTERPRISES,2
941,HARI RETAILER'S,1
942,HARI TRADERS.,1
943,HARIOM ( SMT™ ),1
944,HARIOM COMMUNICATION LLP,1
945,HASHTAG FITNESS,1
946,HC COLLECTIONS,1
947,HCSLite,1
948,HDR INNOVATION,3
949,HE RETAIL SUPPLIES,1
950,HE SALES,1
951,HEALTHCARE BIOTECH™,1
952,HEALTHEX,3
953,HEENAL,2
954,HEER,2
955,HI-LITE ESSENTIALS,3
956,HIPKOO SPORTS,1
957,HNR Retail,1
958,HOLME'S SHOP,1
959,HOME BARGAIN,1
960,HOME BUY® STORE,1
961,HOME FINERY,1
962,HOME MAKE STORES,1
963,HOMZ WONDERS,1
964,HORIZONINDIA,1
965,HOUSE OF QUIRK,5
966,HP GREEN SOLUTIONS,1
967,HQMS TECHNOLOGIES,1
968,HR ENTERPRISES.......,2
969,HRB Musicals,7
970,HRD SALES,1
971,HSInternet,2
972,HT Kitchen Gallery,1
973,HUB MART,8
974,HUKUM ENTERPRISES,2
975,HYGIENIC DIAPERS,3
976,Haiko,1
977,Hamilton Housewares,3
978,Hampi Computers,1
979,Hardtrac_SLP Samsung Authorized,1
980,Hargovind,1
981,Hari Om Mobile,2
982,Hari_e_commerce,1
983,Harmony Gift,1
984,Harricane,1
985,Harsh Enterprises.,1
986,Hasan trading,2
987,HashTag Glam 4 Gadgets,1
988,Havens Marketing Private Limited,1
989,Headly Fitness,1
990,HeadsUpForTails,1
991,Health Zzone,1
992,Health&Glow,2
993,Healthcare Supplies,1
994,Healthy18,1
995,Heega Sports,1
996,HelloYehlo,12
997,Helmetdon,3
998,Hey Ram,1
999,Hi-Tech Systems Satara,1
1000,Hightop Sports Industries,1
1001,Hindustan Deal,1
1002,Hindustan Industries,1
1003,Hira Enterprises.,1
1004,Hitech Enterprises.,3
1005,Hiyanshi Creations,1
1006,Home & Audio,1
1007,Home & Kitchen Gallery,5
1008,Home Care products,1
1009,Home Furnishing -Made In India by RajasthaniKart,1
1010,Home Shop®,1
1011,Home arena,1
1012,Homecart,2
1013,Homedeliverykart,1
1014,Homeproducts4u,1
1015,Homyl IN,2
1016,Honest Shop,1
1017,Honey Retails,1
1018,House Of Electronics,1
1019,Hunky Dory Kids,1
1020,Hunt India,2
1021,I K ENTERPRISES,1
1022,I MAD,1
1023,I.R. INTERNATIONAL,1
1024,IBAZAR,2
1025,ICONIC INC.,1
1026,IDEAL COMPUTER KOLKATA,1
1027,IFIHomes,2
1028,IMPEX PERFECTION,1
1029,IMPORT EXPORTS ™,1
1030,INDIA ENTER,1
1031,INDIA RETAIL's,1
1032,INDIA TRADERS,1
1033,INDIAN  SHOP,1
1034,INDIANS_PRIME,1
