,Seller,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
2074,R A C H N A,3.166666666666667,4.235714285714286,3.75,3.458333333333333,3.2159463489099047
2075,R D Retail,3.129032258064516,4.419999999999999,3.7522580645161283,3.73741935483871,3.396026089946001
2076,R K AGENCIES.,2.798019801980198,4.354125412541256,3.93023102310231,4.126501650165017,3.469673406469903
2077,R N PROMOTERS,3.833333333333333,4.419047619047619,3.8,3.8166666666666664,3.6685866511604455
2078,R S Sales,3.3333333333333335,4.5,3.5,4.5,3.708836689752347
2079,R S TRADERS DELHI,3.333333333333333,4.591428571428572,4.24,3.7866666666666666,3.721043571937177
2080,R k Retail,4.571428571428571,4.6000000000000005,3.8857142857142857,4.228571428571429,4.175747774670586
2081,R-shield,2.8,4.0,3.9599999999999995,3.38,3.0310663277966023
2082,R.B. Collection,3.666666666666667,4.539285714285715,4.075,3.8708333333333336,3.7821240417199706
2083,R.C. Store,3.9238532110091744,4.720672782874617,3.8912996941895996,4.5818883792048934,4.160775037284775
2084,R.D. Retail,2.316279069767442,4.6788372093023245,4.496279069767442,4.614418604651163,3.8393937118995702
2085,R.K. INFOTECH  ONLINE,1.5555555555555556,3.8444444444444446,3.566666666666667,3.538888888888889,2.490875717421456
2086,R.K. INTERNATIONAL,3.833333333333333,4.376190476190476,3.533333333333334,3.683333333333333,3.508661431744754
2087,R.K.Computer(SAI),2.3733333333333335,4.050000000000001,3.6580000000000013,3.7556666666666674,2.9611739341755268
2088,R.R.ENTERPRISES.,3.0,4.0555555555555545,3.299999999999999,4.0555555555555545,3.1617746407477942
2089,R.S ENTERPRISES.,3.9166666666666665,4.53452380952381,3.8750000000000004,3.8958333333333326,3.803307183894749
2090,R.S Musics,3.2666666666666666,4.253333333333333,3.8677777777777775,4.045,3.5223267292053793
2091,R.S Retailer,3.04,4.303999999999999,3.7359999999999998,3.9960000000000004,3.4094984181480936
2092,R.S entp,4.75,4.75,4.025,4.387499999999999,4.40901584420798
2093,R2M3 Enterprise,2.6666666666666665,3.8333333333333335,3.5,3.8333333333333335,2.9347152705843067
2094,RA Sellers,2.833333333333333,4.123809523809523,3.5666666666666664,3.1999999999999997,2.8970290507899463
2095,RADIO & GRAMOPHONE HOUSE,3.4765844491425897,4.4781293164200155,3.8563763213530655,3.7167129433873645,3.560787192340866
2096,RADIXSYSTEMS SERVICES,1.9090909090909092,4.70909090909091,4.427272727272728,4.568181818181819,3.6812934200729432
2097,RAHUL COMPUTECH,3.7327586206896552,4.608620689655174,3.911206896551725,4.482327586206897,4.0167243719883245
2098,RAJ AUTO AGENCIES,2.561904761904762,4.134436090225564,3.5778245614035087,3.069864661654135,2.767958398330338
2099,RAJ COSMO CARE,2.0,3.893333333333333,3.56,2.78,2.3600567576346028
2100,RAJA BAZAAR,3.7627627627627627,4.509629629629632,3.9241041041041047,4.377367367367369,3.945237249069444
2101,RAJA TV CENTRE,0.5555555555555556,3.7666666666666657,3.7666666666666657,3.7666666666666657,2.289013898941714
2102,RAJARSHI,2.04,4.3679999999999986,4.039999999999999,4.3679999999999986,3.3623190725630945
2103,RAJU COMMUNICATION.,5.0,5.0,4.1,4.55,4.690470715397504
2104,RAJU TOYZ,4.0,4.206666666666666,4.04,4.0200000000000005,3.7847012828822346
2105,RASCO SPORTS,2.416666666666667,4.114285714285714,3.75,3.083333333333333,2.774775711934204
2106,RASHMI ENTERPRISES..,1.5714285714285714,4.3999999999999995,4.299999999999999,4.3999999999999995,3.325269132511608
2107,RASON SPORTS,2.305555555555556,4.022916666666666,3.7145833333333336,3.010069444444444,2.6575265133479853
2108,RATRADERS,2.6212121212121215,4.493939393939394,4.221212121212122,3.4212121212121214,3.3003173626364446
2109,RAVI COMPUTER SOLUTIONS,2.942857142857143,4.422857142857143,3.8999999999999986,4.278571428571428,3.596109754737609
2110,RAWAT ELECTRONICS,1.6,4.4399999999999995,4.299999999999999,4.4399999999999995,3.3680425049592957
2111,RAadhe,1.4,4.2,4.0,2.7,2.4218299752760775
2112,RBt ONLINE,3.0789473684210527,3.969736842105263,3.5328947368421053,3.700657894736842,3.088655959865248
2113,RD World,2.588235294117647,4.25735294117647,3.7249999999999996,4.043382352941176,3.2578113275819836
2114,RDX MUSIC STORE,4.0,4.3,3.375,3.6875,3.476546663127435
2115,REAL BRILLIANCE,2.4294372294372293,4.343463203463204,3.962943722943723,4.187099567099566,3.380712532106508
2116,REAL_1 STORE,2.507017543859649,3.912719298245614,3.4267543859649137,3.4528508771929824,2.7477081509380104
2117,REES52,3.1904761904761907,4.214285714285714,3.9666666666666672,4.021428571428571,3.5040120248661046
2118,RELAXINDIA MARKETING PVT. LTD.,3.2555555555555555,4.0344444444444445,3.544444444444444,3.4000000000000004,3.062260487667509
2119,REPL Retail,3.965686274509804,4.500980392156864,3.709803921568628,3.8377450980392163,3.726309648634447
2120,RESONATE,2.5,4.5,4.0,4.5,3.60769646839504
2121,REURJA SOLUTIONS PRIVATE LIMITED,4.0,4.46,3.775,3.8875,3.7597761021900924
2122,REYHAAN ENTERPRISES,2.776315789473684,4.223684210526317,3.8565789473684213,4.026973684210528,3.3405600979849703
2123,RG ONLINE STORE,3.7142857142857144,4.228571428571429,3.2428571428571433,3.478571428571428,3.2274521287862377
2124,RH STORE,1.9006410256410255,3.883173076923078,3.6766025641025655,3.6828525641025647,2.711708487425524
2125,RHIME,3.3367816091954023,4.309770114942529,3.5408045977011495,3.7491379310344826,3.3469105321382067
2126,RHMART™,3.3872549019607843,4.472205882352942,3.966813725490194,4.007916666666665,3.678883484596585
2127,RHYTHMELECTRONICS,2.439655172413793,3.875,3.285344827586207,3.772844827586207,2.785616406679975
2128,RIANZ™,3.171875,4.355312499999999,3.787083333333333,3.7919791666666667,3.4132295870262976
2129,RIDAM,3.0,4.057142857142857,3.7999999999999994,4.057142857142857,3.3298567678564206
2130,RIDDHI IMPEX SECURITY SYSTEM,3.6666666666666665,4.091666666666667,3.4666666666666663,3.566666666666667,3.258874042628681
2131,RIGHT2CART,2.6,4.12,3.7199999999999993,3.16,2.8559557171070074
2132,RKBOOKSHOP,3.1333333333333333,4.2700000000000005,3.7,3.9466666666666663,3.393013447067639
2133,RMR BRANDS,3.9444444444444446,4.711111111111111,3.968518518518519,3.9564814814814815,3.94685215440938
2134,RMTC,2.8,4.160000000000001,3.6000000000000005,4.160000000000001,3.285234258732932
2135,ROCKETKART,2.888888888888889,4.19,3.776666666666667,3.8661111111111115,3.27260863291868
