,Seller,Product,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
4702,Grey Stone,Saregama Carvaan SC01 Portable Digital Music Player(Cherrywood Red),3.6,4.666666666666667,4.1000000000000005,3.8499999999999996,3.8041003876442767
4703,Grooming Kart ®,My 60 Minutes Orange Gym Shaker 500 ml (MM-S3-809),3.857142857142857,4.405714285714286,3.84,3.8485714285714283,3.6817915040485545
4704,GrvEnterprises,Quantum QHM6633 4-Port USB Hub (Multicolor),3.0,4.175,4.0,3.5,3.221031143108616
4705,GrvEnterprises,Quantum USB Sound Card QHM-623 For All Computer/PC,3.5,4.4799999999999995,4.0,3.75,3.6157440202885183
4706,Gsm DUMANHILL ®,Apsara Scholars Kit,2.6,4.692,4.468,4.373999999999999,3.8224153575673894
4707,Gsm DUMANHILL ®,Cello Highlighter - Pack of 5 (Multicolor),3.1999999999999997,4.42,4.0200000000000005,3.61,3.4446713491494485
4708,Gss creation,Wonderchef Nutri-Blend 400-Watt Mixer Grinder with 3 Jars (White),4.5,4.7,3.916666666666667,4.208333333333333,4.186105463494387
4709,Gulati marketing Corporation,Brookfield Polyester 56 cms Marine Blue Carry-On (AMT Brookfield SP56 Marine BLU),5.0,5.0,3.9750000000000005,4.487500000000001,4.6095397361434225
4710,Gulati marketing Corporation,Brookfield Polyester 80.5 cms Marine Blue Suitcase (AMT Brookfield SP80 Marine BLU),4.0,4.654999999999999,4.075,4.0375,3.991989013676469
4711,Gulati marketing Corporation,Polycarbonate 55 cms Midnight Blue Carry-On (38W (0) 11 001),4.2,4.68,3.62,3.91,3.8648803279537547
4712,Gulati marketing Corporation,Polycarbonate 79 cms Midnight Blue Hardsided Suitcase (38W (0) 11 003),4.0,4.84,3.9599999999999995,3.9799999999999995,4.013880996928973
4713,Gulati traders,Origami So Soft Non-Woven Kitchen Towels - 80 Pulls (Pack of 2),3.6666666666666665,4.633333333333333,3.9333333333333336,3.8,3.7350903553311374
4714,Gupta  Trading Company,Generic Axe Avengers Infinity War 3 Thor Stormbreaker Hammer Antique Silver & Gold Metal Keychain(Set Of 2),3.3333333333333335,4.166666666666667,3.6,3.466666666666667,3.176969239234837
4715,Gupta Computer Care,Zebronics 450 W Power Supply SMPS,0.0,4.0,4.0,2.0,1.5946678907141703
4716,Gupta brothers chandigarh,Logitech M235 Wireless Mouse (Grey),3.6666666666666665,4.4,3.7,3.6833333333333336,3.506638882594472
4717,Guru ji telehub,"Cello Ozone Plastic Water Bottle Set, 1 Litre, Set of 6, Assorted",3.3333333333333335,4.366666666666666,3.5999999999999996,3.4666666666666672,3.266626521492839
4718,Guru ji telehub,"Milton Thermosteel Duo Deluxe, 500ml, Steelplain",1.5,3.1833333333333336,2.85,2.175,1.3921138583418542
4719,Guruji Gifting,Handheld Wireless Microphone With Bluetooth Speaker For All IOS/Android Smartphones,2.3714285714285714,3.7199999999999998,3.248571428571428,3.4099999999999997,2.527883125157136
4720,Guruji Gifting,Rewy Teconica Q7 Karaoke Handheld Singing Machine with audio recording (Multicolor),3.5833333333333335,4.16875,3.7291666666666674,3.6562500000000004,3.3754564767903723
4721,Guruji Trading Company,Gtc 3 In 1 Large Sink Set Dish Rack Drainer With Tray For Kitchen - Blue ( It N - 167-1 ),4.0,4.8,4.085714285714285,4.042857142857144,4.062677593267199
4722,GymMart(Fit-N-Fine Fitness),Lifeline 4 in 1 Deluxe Manual Treadmill,4.714285714285714,4.714285714285714,3.9142857142857146,4.314285714285714,4.3018109898069845
4723,GymMart(Fit-N-Fine Fitness),"Lifeline Exercise Bike Combo (Black) with Gym Bag, Sweat Belt, Tummy Trimmer and Skipping Rope",4.166666666666667,4.538095238095239,3.9666666666666677,4.066666666666666,3.9680749774355384
4724,H.R Enterprises,ASUS 17-inch Casual Laptop Backpack (Black),2.5,4.407142857142857,3.9499999999999997,3.2250000000000005,3.040572543256849
