,Product,Price,Count,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL OVER
0,Bigsavings Smart Wireless HD IP Wifi CCTV Camera for Remote Monitoring from Android and iOS Smartphone,Rapidora.,Rapidora.,Rapidora.,Rapidora.,Rapidora.,Rapidora.,Prime-Global
0,"Blue Star 1.5 Ton 5 Star Window AC (Copper, 5W18LC, White)",Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
0,Sony MDR-EX150AP In-Ear Headphones with Mic (Dark Blue),Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
0,Philips Diva GC83 750-Watt Dry Iron (Black),STAR EMPIRES,Sai Electricals and appliances,STAR EMPIRES,STAR EMPIRES,STAR EMPIRES,STAR EMPIRES,STAR EMPIRES
0,[Sponsored]KENT Grand 8-Litres Wall-Mountable RO + UV/UF + TDS Water Purifier,Olympia Industries Ltd.,Cloudtail India,PREET HOME APPLIANCES,PREET HOME APPLIANCES,PREET HOME APPLIANCES,PREET HOME APPLIANCES,PREET HOME APPLIANCES
0,"[Sponsored]LG 7.5 kg Semi-Automatic Top Loading Washing Machine (P8541R3SA, Burgundy)",BEST HOME RETAIL,Cloudtail India,BEST HOME RETAIL,BEST HOME RETAIL,Cloudtail India,BEST HOME RETAIL,BEST HOME RETAIL
0,Boat BassHeads 100 Hawk Inspired Earphones with Mic (Taffy Pink),Techretailer,Techretailer,Techretailer,Techretailer,Techretailer,Techretailer,DELYTZ
0,Inalsa INOX 1000-Watt Food Processor (Black/Silver),k3_stores,k3_stores,k3_stores,k3_stores,k3_stores,k3_stores,Cloudtail India
0,"Sony PS4 Slim 1TB Console (Free Games: DS4, Driveclub)",zenithtraders,zenithtraders,zenithtraders,zenithtraders,zenithtraders,zenithtraders,Cloudtail India
0,Honeywell HAC25M1201W 53-Watt Room Air Purifier,AcWalla,Authorised Deals,AcWalla,AcWalla,AcWalla,AcWalla,AcWalla
0,HIKVISION FULL HD 2MP CAMERAS COMBO KIT 4CH HD DVR+ 2 BULLET CAMERAS + 2 DOME CAMERAS+1TB HARD DISC+ WIRE ROLL +SUPPLY & ALL REQUIRED CONNECTORS,Techno-Krat,Techno-Krat,Techno-Krat,Techno-Krat,Techno-Krat,Techno-Krat,Om Technocraft
0,YI 93002 Night Vision Wireless IP Security Surveillance Camera (White),price..perfect,price..perfect,YI Technology Private Limited,YI Technology Private Limited,YI Technology Private Limited,YI Technology Private Limited,Appario Retail Private Ltd
0,Motorola Pulse Escape SH012 Wireless Headphones (Black),Vee Ess Sales Pvt Ltd,Vee Ess Sales Pvt Ltd,Vee Ess Sales Pvt Ltd,Vee Ess Sales Pvt Ltd,Vee Ess Sales Pvt Ltd,Vee Ess Sales Pvt Ltd,Appario Retail Private Ltd
0,JBL T460BT Extra Bass Wireless On-Ear Headphones with Mic (Black),price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,price..perfect,Appario Retail Private Ltd
0,Sony MDR-EX150AP In-Ear Headphones with Mic (Black),best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz
0,"LG 1.5 Ton 5 Star Inverter Split AC (Copper, KS-Q18FNZD, Floral White)",Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
0,"Oyrl PSP Game Console with 10000 Games, Music, Alarm, Calculator, Camera, SD Card Slot- White",A2ZTraders,A2ZTraders,A2ZTraders,A2ZTraders,A2ZTraders,A2ZTraders,4V international
0,EGATE i9 LED HD Projector (Black) HD 1920 x 1080 - 120-inch Display,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
0,Samsung 123 cm (49 Inches) Full HD LED Smart TV UA49N5300AR (Black) (2018 model),Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
0,Saregama Carvaan SCM02 Mini 2.0 Bluetooth Speaker (Regal Blue),FAST LIFE,FAST LIFE,TRUST DEAL,TRUST DEAL,TRUST DEAL,TRUST DEAL,Kharidiye dot com
0,Boat Stone 1000 Bluetooth Speaker with Monstrous Sound,JAIKARA,THENIRVANASHOPS,Techretailer,Techretailer,Techretailer,Techretailer,Techretailer
