,Brand,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
1090,i-Heir,i-Heir® Official,2.09816237421487,i-Heir® Official,1.4285714285714286,i-Heir® Official,3.6571428571428575,i-Heir® Official,2.542857142857143,i-Heir® Official,3.871428571428571
1091,iBall,RAJU COMMUNICATION.,4.682900117892795,RAJU COMMUNICATION.,5.0,L N Tech Computers,4.4,L N Tech Computers,4.6400000000000015,RAJU COMMUNICATION.,5.0
1092,iNinja Tools,Shirisha enterprises,3.6069585323524658,PRODUCTMINE  ®,4.0,DiscounteDeals,4.15,PRODUCTMINE  ®,3.8,Shirisha enterprises,4.333333333333333
1093,iVoltaa,iVoltaa Official,3.7628627425187577,iVoltaa Official,3.5,iVoltaa Official,4.199999999999998,iVoltaa Official,3.85,iVoltaa Official,4.5600000000000005
1094,iZED,Maadurgacreation,2.9919595665193683,Maadurgacreation,3.1296296296296298,ShubhEnterprises,3.303478260869565,Maadurgacreation,3.633024691358025,Maadurgacreation,4.010493827160493
1095,incho,Aster Commerce,4.450998999572068,Aster Commerce,4.6000000000000005,Aster Commerce,4.28,Aster Commerce,4.44,Aster Commerce,4.733333333333333
1096,jungal,Kart Trade,2.8958306171969923,Kart Trade,2.666666666666667,vinod store,4.1000000000000005,Kart Trade,3.2166666666666663,vinod store,4.1000000000000005
1097,junos,1699 sikh store,3.9852668941140097,1699 sikh store,3.8,1699 sikh store,4.22,1699 sikh store,4.010000000000002,1699 sikh store,4.6866666666666665
1098,king shine,king shine industries,3.264745714497,king shine industries,2.7142857142857144,king shine industries,4.185714285714286,king shine industries,3.4499999999999997,king shine industries,4.371428571428572
1099,lovelyhome,lovelyhome Mall,4.277056310730553,lovelyhome Mall,4.333333333333333,lovelyhome Mall,4.15,lovelyhome Mall,4.241666666666666,lovelyhome Mall,4.8047619047619055
1100,metors,Ergode India,3.9914699102966456,Ergode India,3.7647058823529416,SuperSonic39,4.195384615384615,Ergode India,4.205294117647059,Ergode India,4.676470588235294
1101,mi,Cloudtail India,3.635247325473873,Cloudtail India,3.690196078431372,Cloudtail India,3.8753921568627456,Cloudtail India,3.7827941176470574,Cloudtail India,4.436960784313727
1102,mtuggar,mtuggar,2.956850416613338,mtuggar,2.5,mtuggar,3.9,mtuggar,3.2000000000000006,mtuggar,4.266666666666667
1103,ooze,polaccessories,3.7105200443954502,polaccessories,3.0,polaccessories,4.1,polaccessories,4.4,polaccessories,4.4
1104,oyrl,A2ZTraders,3.353648631656132,A2ZTraders,3.551333333333333,A2ZTraders,3.3050666666666664,A2ZTraders,3.7461999999999986,A2ZTraders,4.3617333333333335
1105,realme,Vservbpo,3.621534586341742,Vservbpo,3.0,Vservbpo,4.0,Vservbpo,4.333333333333333,Vservbpo,4.333333333333333
1106,rts,Radhey Techno Service,3.1420977429314254,Radhey Techno Service,2.833333333333333,Radhey Techno Service,3.513888888888889,Radhey Techno Service,3.7291666666666665,Radhey Techno Service,4.266666666666668
1107,shopmart,sachin  enterprises,2.940494023674216,sachin  enterprises,2.5,sachin  enterprises,3.4,sachin  enterprises,3.95,sachin  enterprises,3.95
1108,smarteefi,Smarteefi,3.511270360841652,Smarteefi,3.2526315789473683,Smarteefi,3.9757894736842103,Smarteefi,3.9115789473684215,Smarteefi,4.289473684210527
1109,stealkart,Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),2.6922417425047227,Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),2.2857142857142856,Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),3.733333333333333,Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),3.009523809523809,Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),4.11904761904762
1110,vini yoga mat,dimpi enterprises,3.6498041501653207,dimpi enterprises,3.333333333333333,dimpi enterprises,4.199999999999998,dimpi enterprises,3.7666666666666666,dimpi enterprises,4.5
1111,wildmount,RATRADERS,3.29038694010242,RATRADERS,2.621212121212121,RATRADERS,4.221212121212122,RATRADERS,3.4212121212121214,RATRADERS,4.493939393939394
